fa80e15f	Stephen Stair	2017-09-18 15:44:09 -0700	Ignore files that are generated by event simulator.
682350d3	Stephen Stair	2017-09-18 15:43:12 -0700	Add simple website to get apache error logs
175fb88b	Stephen Stair	2017-09-18 15:31:05 -0700	Allow admin user to set event-driving meta
85965a6c	Stephen Stair	2017-09-17 01:55:11 -0700	Notification code - WIP
5f2e04dc	Stephen Stair	2017-09-17 01:45:33 -0700	Working on notification code (WIP, incomplete)
488956e4	Stephen Stair	2017-09-17 01:44:49 -0700	Add last read notification concept to user object
937c7d30	Stephen Stair	2017-09-18 16:32:30 -0700	Simulator: solve caching issues, by using admin user + API to set meta on event. Also invalidate event node cache when changing event mode in dev_events
5f8a7814	Stephen Stair	2017-09-18 15:44:09 -0700	Ignore files that are generated by event simulator.
e82e8dde	Stephen Stair	2017-09-18 15:43:12 -0700	Add simple website to get apache error logs
afca50f5	Stephen Stair	2017-09-18 15:31:05 -0700	Allow admin user to set event-driving meta
638ca928	Martin Zackrisson	2017-09-14 18:53:31 +0200	Added tootips
3502a28d	Mike Kasprzak	2017-09-03 19:51:25 -0400	Merge pull request #1211 from sgstair/comment_avatar
afdcccad	Stephen Stair	2017-09-03 14:03:42 -0700	Update comments to only display the 64x64 avatar
1dd67c8f	Stephen Stair	2017-09-03 13:35:33 -0700	Another IE11 compat fix
55bb9021	Stephen Stair	2017-09-03 04:05:18 -0700	Fixes for tag editor site
61138829	Stephen Stair	2017-09-03 03:23:00 -0700	Add tag management UI (Preparing to add tag warnings)
9d072957	Mike Kasprzak	2017-08-31 18:42:15 -0400	Merge pull request #1209 from sgstair/ie11_compat
d592570b	Stephen Stair	2017-08-31 14:28:41 -0700	Compat fix to make site work on IE11
0809ec67	Mike Kasprzak	2017-08-30 12:46:23 -0400	Merge pull request #1208 from sgstair/test_improvement
f84316c7	Mike Kasprzak	2017-08-30 12:17:46 -0400	Update grade.php
a4acacb4	Stephen Stair	2017-08-30 05:52:45 -0700	Allow bots to rate with half-stars
d62da3d6	Stephen Stair	2017-08-30 05:31:43 -0700	Fix floating point check in grading.
edebf505	Stephen Stair	2017-08-30 05:27:58 -0700	Make it easier to switch between site modes for testing.
9962502d	Stephen Stair	2017-08-30 04:46:19 -0700	Event Simulation Bot voting and results are working
d9dcde8b	Stephen Stair	2017-08-30 03:00:02 -0700	Fixes, simulation theme process is now fully automated and bots participate in the suggestion/voting process.
25b5fdfc	Stephen Stair	2017-08-30 01:10:28 -0700	Working on automating theme voting
acba8e51	Stephen Stair	2017-08-29 18:43:44 -0700	Bots now read wikipedia. Working on event automation.
196d9a74	Stephen Stair	2017-08-28 12:58:21 -0700	Improve readability of stats report
091e70ab	Stephen Stair	2017-08-28 09:29:06 -0700	Half finished markov text generation
89fe3a12	Mike Kasprzak	2017-08-29 19:11:20 -0400	Merge pull request #1207 from povrazor/master
865027b3	Mike Kasprzak	2017-08-28 18:14:05 -0400	allow half votes
7fb5f145	Mike Kasprzak	2017-08-28 17:45:47 -0400	Grade values are now floats
827a8212	Mike Kasprzak	2017-08-28 16:59:03 -0400	Merge pull request #1201 from povrazor/master
1d7d4bbf	Mike Kasprzak	2017-08-28 16:58:26 -0400	lowered count 'cause it's doubled
0cbb972b	Mike Kasprzak	2017-08-28 16:53:29 -0400	include drafts in count. added detail to ConutByParentAuthorType usage
db5e4fd3	Mike Kasprzak	2017-08-28 14:47:09 -0400	should fix the counts returned by node/add
48e78441	Mike Kasprzak	2017-08-28 14:25:47 -0400	Merge pull request #1200 from povrazor/master
eae9817d	Mike Kasprzak	2017-08-28 14:25:15 -0400	raised post limit
7ad2a528	Mike Kasprzak	2017-08-24 18:08:14 -0400	Merge pull request #1191 from sgstair/db_fix
c2ccffc4	Mike Kasprzak	2017-08-24 18:07:23 -0400	Merge pull request #1192 from sgstair/perf_measurement
886c733c	Stephen Stair	2017-08-23 16:21:40 -0700	Update stats report to produce HTML output. Much easier to read.
e66dab21	Stephen Stair	2017-08-23 14:52:31 -0700	Event simulation now consumes and reports on new timing / database debug data.
1eeb1887	Stephen Stair	2017-08-22 04:11:36 -0700	First pass at adding more detailed db debug info
cc7a180c	Stephen Stair	2017-08-23 17:05:58 -0700	Fix db typo (perf improvement)
d4a9a117	Mike Kasprzak	2017-08-22 13:47:36 -0400	Merge pull request #1187 from povrazor/master
dbf06231	Mike Kasprzak	2017-08-22 13:46:42 -0400	disabled /results and temporarily made it a synonym for /games
bc8d9442	Mike Kasprzak	2017-08-22 12:56:42 -0400	Merge pull request #1186 from povrazor/master
e1611ee1	Mike Kasprzak	2017-08-22 12:56:17 -0400	expanded help
46ba3f4f	Mike Kasprzak	2017-08-22 12:24:10 -0400	Merge pull request #1185 from povrazor/master
0f8a8ec4	Mike Kasprzak	2017-08-22 12:23:48 -0400	placeholder for /results
b5536a32	Mike Kasprzak	2017-08-22 11:13:52 -0400	Merge pull request #1184 from povrazor/master
a39ea44b	Mike Kasprzak	2017-08-22 11:13:31 -0400	to avoid further confusion, another clock
58143887	Mike Kasprzak	2017-08-22 10:57:45 -0400	Merge pull request #1183 from povrazor/master
a6baf422	Mike Kasprzak	2017-08-22 10:57:10 -0400	coming soon message
da2f2c9f	Mike Kasprzak	2017-08-22 03:59:55 -0400	Merge pull request #1182 from povrazor/master
3fa9f05a	Mike Kasprzak	2017-08-22 03:58:30 -0400	workaround for the zero scores bug
08281a4a	Mike Kasprzak	2017-08-22 01:58:02 -0400	Merge pull request #1180 from povrazor/master
669df8fe	Mike Kasprzak	2017-08-22 01:57:17 -0400	array_diff doesn't fix indexesgit diff
2a73670d	Mike Kasprzak	2017-08-22 01:31:11 -0400	Merge pull request #1179 from povrazor/master
f3783489	Mike Kasprzak	2017-08-22 01:30:51 -0400	added null check
e7f161b9	Mike Kasprzak	2017-08-22 00:43:54 -0400	Merge pull request #1178 from sgstair/db_fix
5645f630	Stephen Stair	2017-08-21 21:36:44 -0700	DB Query fix (used by magic - was not limiting magic query to only the relevant nodes)
